"Pesquisador_Responsável","Pesquisadores_Associados","Pesquisadores_Principais","Cidade","Instituições_no_Exterior","Área_do_Conhecimento","Data_de_Início","Data_de_Término"
"Aloisio Mota Rodrigues Junior","Luiz Guilherme Miguel Jucá","","São Paulo","","Ciência da Computação","4/1/2024","12/31/2024"
"Leticia Leite Munhoz","Alex Reis","","Barueri","","Engenharia Elétrica","4/1/2024","12/31/2024"
"Eduardo Carità","","","Valinhos","","Engenharia Biomédica","4/1/2024","12/31/2024"
"Felipe Ribeiro Cabral Fagundes","Gisela Cristiane Miyamoto - Guilherme Hernandes Garcia Sanchez - Ricardo dos Reis","Bruno Tirotti Saragiotto","São José dos Campos","","Saúde Coletiva","4/1/2024","12/31/2024"
"Leonardo José da Silva","Valeria Maia Merzel","Gileno Vieira Lacerda Júnior","Campinas","","Agronomia","4/1/2024","12/31/2024"
"Amanda Carolina Prado de Moraes","Emerson Rodrigues de Camargo - Paulo Teixeira Lacava","","Ribeirão Preto","","Agronomia","4/1/2024","12/31/2024"
"Pedro Viganó da Silva Santos","Roseli de Deus Lopes","Nicholas Smaal","São Paulo","","Engenharia Elétrica","4/1/2024","12/31/2024"
"Andre Zuffo Boaratti","","","Jaboticabal","","Recursos Pesqueiros e Engenharia de Pesca","3/1/2024","11/30/2024"
"Fabiane Teixeira de Jesus","Ana Beatriz Carvalho Fernandes Braga","","Campinas","","","3/1/2024","11/30/2024"
"Leandro Norberto da Silva Júnior","João Victor Barbosa Tenório Fireman","","Marília","","Medicina Veterinária","3/1/2024","11/30/2024"
"José Marcio Bassan","José Alfredo Covolan Ulson","","Bauru","","Ciência da Computação","3/1/2024","11/30/2024"
"Aryanne Rodrigues de Lima Costa","Carlos Augusto Prata Gaona","","Juquiá","","Agronomia","3/1/2024","11/30/2024"
"Victor Borin Centurion Biruel","","","Campinas","","Genética","3/1/2024","11/30/2024"
"Karla Rodrigues Borba","Poliana Cristina Spricigo - Poliana Cristina Spricigo","","São Carlos","","Agronomia","3/1/2024","11/30/2024"
"Arthur Reis Martins","","","São Bernardo do Campo","","Zootecnia","3/1/2024","11/30/2024"
"Elisângela Belleti","Iseli Lourenço Nantes Cardoso","","Santo André","","Química","3/1/2024","11/30/2024"
"Daniel Cardoso de Andrade","","","São Paulo","","","3/1/2024","11/30/2024"
"João Vitor Alcantara da Silva","","","Santo André","","Medicina Veterinária","3/1/2024","11/30/2024"
